,precision_score,recall_score,f1_score,accuracy_score,train_accuracy_score,train_time
multinomial_nb,0.7954927600250165,0.7906922357343311,0.7906128895912929,0.7906922357343311,0.9703533292820558,46.978084087371826
knn,0.7378715695556461,0.724508886810103,0.7177087110357242,0.724508886810103,0.739951384668808,340.44450783729553
svm,0.7569057715813793,0.7570159027128157,0.7569306023704064,0.7570159027128157,0.9477385189686605,1421.4263570308685
