,precision_score,recall_score,f1_score,accuracy_score,train_time
multinomial_nb,0.8021609477050076,0.8026686713023867,0.802026798010182,0.8026686713023867,43.321796894073486
knn,0.7259827572011486,0.7056944183424169,0.6866309611506123,0.7056944183424169,292.1810700893402
svm,0.7485269374205201,0.7494831798534111,0.7485443721355041,0.7494831798534111,3236.4346117973328
